1;"yellow";"female";155.293204291007;26614.4203960696;9
2;"green";"female";151.344975713037;30403.0030003509;6
3;"blue";"female";168.701852610832;28939.3561707967;8
4;"yellow";"female";170.122153445473;26350.6371226279;10
5;"red";"male";152.921142065125;33379.358643427;8
6;"blue";"male";175.211130562281;24975.9431069254;10
7;"green";"male";179.482272143469;37517.7813410989;5
8;"red";"male";184.756101228399;21956.8650846275;7
9;"green";"female";177.172597452568;26546.4231661411;9
10;"yellow";"female";160.223733989108;30330.9523978817;8
11;"red";"male";168.038430813443;19889.6962547784;6
12;"red";"male";181.961210809638;36643.9691965579;6
13;"green";"female";165.049705135562;27644.6746601266;8
14;"green";"male";191.917548867621;30953.1378403963;9
15;"red";"male";157.595301323132;25465.8608846138;11
16;"blue";"female";176.245430590616;21829.0347301332;10
17;"blue";"female";155.010243090247;30895.6819284886;7
18;"red";"female";183.452795200581;34044.5043800006;8
19;"blue";"female";176.744583805854;25771.3516730218;6
20;"blue";"female";163.421742941416;26732.1248456864;8
21;"red";"female";166.512181649894;27907.4223492249;6
22;"yellow";"male";168.345656899999;17004.7297672164;11
23;"red";"female";183.279203319311;22872.9146131298;10
24;"blue";"male";167.73375987292;28738.4166489431;7
25;"red";"male";166.047352611331;19535.9449775566;10
26;"yellow";"female";163.272931757985;26466.4524358602;11
27;"blue";"female";166.330783908108;29687.3216154769;7
28;"red";"female";142.1517546418;32568.8533404046;7
29;"blue";"female";185.320597859097;38090.100631364;7
30;"red";"female";172.032115471489;28198.6079157632;11
31;"green";"male";170.856964087235;36522.7225594061;7
32;"yellow";"female";143.807733719484;24381.7124880389;10
33;"yellow";"female";156.400177385096;28071.0401987545;5
34;"blue";"male";179.040102095238;31344.6023756531;5
35;"yellow";"female";172.454959239406;16306.3491750323;11
36;"green";"male";182.097322561104;28572.4830772327;8
37;"blue";"female";168.510299863565;24641.1181505363;5
38;"yellow";"male";172.821230438947;23048.261047597;6
39;"green";"female";177.420660053856;34061.7888024475;9
40;"green";"male";164.886383786118;26911.9451318484;11
41;"green";"female";179.566277528346;26429.4064871404;9
42;"red";"male";148.194980507029;25547.0088398396;11
43;"green";"male";150.574232392417;22546.2804272823;10
44;"yellow";"male";178.129175777223;21361.7344444712;7
45;"blue";"male";179.748924586075;25863.1684852154;9
46;"red";"male";178.112350821854;22625.4564422954;10
47;"yellow";"male";162.160499530905;28912.1391549957;9
48;"red";"male";159.129179213201;35456.1223951901;7
49;"red";"female";168.337115874993;20724.7827641456;9
50;"red";"male";175.968725475406;25769.7394817841;10
51;"green";"male";190.210779878236;31157.3188596167;7
52;"green";"male";182.91893995265;29094.546477559;9
53;"red";"male";167.392391171599;27236.4763536787;6
54;"yellow";"male";183.388521943965;26361.2917924018;6
55;"red";"female";175.718647775866;19783.8921563199;5
56;"yellow";"male";169.150592385195;28592.1849235779;7
57;"green";"male";189.884959732126;30525.9353031604;10
58;"red";"male";184.732672451732;36110.3040454237;10
59;"green";"female";182.342721113598;29472.2760125283;5
60;"red";"female";172.163761590648;35999.531701908;7
61;"blue";"male";172.891377322393;25747.4942766917;7
62;"red";"female";175.489532044289;21239.9297496;9
63;"blue";"male";175.066020961368;27073.7062209997;6
64;"blue";"female";164.190082212623;24167.3087705373;7
65;"green";"female";162.454188578641;25073.3245897865;8
66;"blue";"male";177.312217052693;34340.602867745;6
67;"red";"female";167.402509497767;35740.3939564853;5
68;"green";"male";177.214304425674;26349.0948586153;8
69;"green";"female";163.30113609401;21053.9987815934;5
70;"blue";"male";163.555937884456;22775.5501547047;9
71;"blue";"male";157.457358512751;20587.4895481528;7
72;"yellow";"female";172.178408616897;29844.5214352643;11
73;"yellow";"female";180.508259389974;27221.9929164303;9
74;"red";"male";154.701677121844;24807.4531007332;10
75;"blue";"female";180.55256008892;37197.4529589816;6
76;"green";"male";170.634812472095;27770.9692130128;6
77;"yellow";"female";185.087816407017;33164.438318944;7
78;"blue";"female";171.786818761297;32171.3254754888;8
79;"red";"male";169.864079303375;26970.4347330644;11
80;"yellow";"male";168.808944869639;32255.9723216334;6
81;"green";"male";172.374666740119;33597.0893100693;8
82;"red";"male";167.33943072298;37170.0109687073;10
83;"red";"female";177.697326189986;28568.5468272787;8
84;"red";"male";178.455856487598;34106.5240085538;5
85;"yellow";"male";174.563734220126;25391.1666298649;5
86;"green";"male";171.493935687547;28968.7954198321;6
87;"yellow";"male";153.901041330168;34074.9273262821;10
88;"yellow";"female";171.218439774258;16140.1251702947;9
89;"red";"male";158.558321902395;34207.3128076065;10
90;"yellow";"female";162.550228494392;27835.4240028977;5
91;"yellow";"female";176.505015148537;25453.0165855733;10
92;"yellow";"female";153.530855663351;24131.4430524194;9
93;"blue";"male";159.132733365976;35926.6790144214;11
94;"red";"female";163.91780278353;31711.1035926976;11
95;"green";"male";167.314323438751;32533.7019787077;5
96;"red";"male";171.894975614244;31991.6351591911;10
97;"yellow";"male";175.599833226616;31786.8693538343;7
98;"green";"male";176.529054106142;34500.6071066148;8
99;"yellow";"male";156.37197289917;26115.9622178369;11
100;"blue";"male";179.669470467798;29446.5933724659;5
